合约品种,现价,涨/跌停板,买开保证金,卖开保证金,每手保证金,开仓手续费,平昨手续费,平今手续费,每跳毛利/元,开平手续费,每跳净利润,是否是主力合约,
2年期国债 (TS2206),100.46,100.9599/99.9599,0.50%,0.50%,10046元,3.03元,3.03元,0元,100,3元,97,,0.9656%
2年期国债 (TS2203),100.5549,101.055/100.055,0.50%,0.50%,10055.49元,3.03元,3.03元,0元,100,3元,97,,0.9646%
2年期国债 (TS2112),100.66,101.16/100.16,0.50%,0.50%,10066元,3.03元,3.03元,0元,100,3元,97,主力合约,0.9636%
线型低密度聚乙烯 (l2209),8810,9510/8110,9%,9%,3964.5元,1元,1元,1元,25,2元,23,,0.5801%
线型低密度聚乙烯 (l2208),8930,9640/8220,9%,9%,4018.5元,1元,1元,1元,25,2元,23,,0.5724%
线型低密度聚乙烯 (l2206),8940,9655/8225,9%,9%,4023元,1元,1元,1元,25,2元,23,,0.5717%
线型低密度聚乙烯 (l2110),8945,9660/8230,9%,9%,4025.25元,1元,1元,1元,25,2元,23,,0.5714%
线型低密度聚乙烯 (l2205),8995,9710/8280,9%,9%,4047.75元,1元,1元,1元,25,2元,23,,0.5682%
线型低密度聚乙烯 (l2204),9060,9780/8340,9%,9%,4077元,1元,1元,1元,25,2元,23,,0.5641%
线型低密度聚乙烯 (l2203),9095,9820/8370,9%,9%,4092.75元,1元,1元,1元,25,2元,23,,0.5620%
线型低密度聚乙烯 (l2201),9125,9855/8395,9%,9%,4106.25元,1元,1元,1元,25,2元,23,主力合约,0.5601%
线型低密度聚乙烯 (l2202),9125,9855/8395,9%,9%,4106.25元,1元,1元,1元,25,2元,23,,0.5601%
线型低密度聚乙烯 (l2112),9160,9890/8430,9%,9%,4122元,1元,1元,1元,25,2元,23,,0.5580%
线型低密度聚乙烯 (l2111),9165,9895/8435,9%,9%,4124.25元,1元,1元,1元,25,2元,23,,0.5577%
聚氯乙烯 (v2208),9220,9955/8485,9%,9%,4149元,1元,1元,1元,25,2元,23,,0.5544%
聚氯乙烯 (v2209),9310,10050/8570,9%,9%,4189.5元,1元,1元,1元,25,2元,23,,0.5490%
普通小麦 (PM111),2436,2558/2314,6%,6%,7308元,5元,5元,5元,50,10元,40,主力合约,0.5473%
聚氯乙烯 (v2207),9340,10085/8595,9%,9%,4203元,1元,1元,1元,25,2元,23,,0.5472%
聚氯乙烯 (v2206),9560,10320/8800,9%,9%,4302元,1元,1元,1元,25,2元,23,,0.5346%
聚氯乙烯 (v2205),9735,10510/8960,9%,9%,4380.75元,1元,1元,1元,25,2元,23,,0.5250%
普通小麦 (PM201),2571,2700/2442,6%,6%,7713元,5元,5元,5元,50,10元,40,,0.5186%
聚氯乙烯 (v2204),9905,10695/9115,9%,9%,4457.25元,1元,1元,1元,25,2元,23,,0.5160%
聚氯乙烯 (v2203),10010,10810/9210,9%,9%,4504.5元,1元,1元,1元,25,2元,23,,0.5106%
聚氯乙烯 (v2202),10125,10935/9315,9%,9%,4556.25元,1元,1元,1元,25,2元,23,,0.5048%
普通小麦 (PM207),2645,2778/2512,6%,6%,7935元,5元,5元,5元,50,10元,40,,0.5041%
聚氯乙烯 (v2201),10160,10970/9350,9%,9%,4572元,1元,1元,1元,25,2元,23,主力合约,0.5031%
玉米淀粉 (cs2111),2808,2976/2640,7%,7%,1965.6元,0.2元,0.2元,0元,10,0.2元,9.8,主力合约,0.4986%
玉米淀粉 (cs2203),2809,2977/2641,7%,7%,1966.3元,0.2元,0.2元,0元,10,0.2元,9.8,,0.4984%
聚氯乙烯 (v2112),10280,11100/9460,9%,9%,4626元,1元,1元,1元,25,2元,23,,0.4972%
聚氯乙烯 (v2111),10355,11180/9530,9%,9%,4659.75元,1元,1元,1元,25,2元,23,,0.4936%
聚氯乙烯 (v2110),10395,11225/9565,9%,9%,4677.75元,1元,1元,1元,25,2元,23,,0.4917%
玉米淀粉 (cs2207),2868,3040/2696,7%,7%,2007.6元,0.2元,0.2元,0元,10,0.2元,9.8,,0.4881%
2年期国债 (TS2106),100.52,101.02/100.02,1%,1%,20104元,3.03元,3.03元,0元,100,3元,97,,0.4825%
2年期国债 (TS2109),100.81,101.31/100.31,1%,1%,20162元,3.03元,3.03元,0元,100,3元,97,,0.4811%
